no,Ex,Ag,Co,Ne,Op
47,-1.795152226,-0.723547865,-0.872592671,0.584235905,-0.519575773
48,1.635127405,0.576560644,1.181689752,-1.750299293,0.805224842
49,0.991949974,-0.463526163,0.725182547,-0.972120894,0.010344473
50,0.991949974,0.576560644,-0.187831863,-0.712728094,0.805224842
51,-0.937582318,-0.463526163,0.040421739,1.362414304,0.010344473
52,0.134380066,-0.463526163,0.040421739,0.324843105,-0.25461565
53,-0.08001241,0.05651724,0.496928944,0.324843105,-0.784535896
54,0.777557497,0.316538942,0.268675342,-0.193942495,0.540264719
55,0.134380066,0.316538942,-0.187831863,-0.453335294,0.010344473
56,-0.294404887,0.05651724,-0.187831863,-0.972120894,-1.314456142
57,0.348772543,0.836582346,0.040421739,0.843628705,1.070184965
58,0.56316502,0.05651724,0.496928944,-0.972120894,-0.519575773
59,-1.580759749,-1.763634672,0.725182547,-1.750299293,-1.579416265
60,-0.294404887,1.356625749,2.094704162,0.324843105,0.540264719
61,0.56316502,-0.203504462,-0.644339068,0.065450305,-0.25461565
62,-0.08001241,0.316538942,-0.187831863,0.324843105,0.805224842
63,-1.366367272,-1.50361297,-0.644339068,1.881199904,-1.049496019
64,1.635127405,-0.463526163,0.268675342,-0.453335294,1.600105212
65,-0.08001241,-0.203504462,-1.100846273,-0.712728094,1.335145088
66,1.206342451,-0.463526163,0.268675342,0.065450305,0.540264719
67,-1.151974795,1.096604047,0.040421739,-0.193942495,-0.519575773
68,1.420734928,-0.463526163,1.181689752,-0.972120894,0.540264719
69,-0.294404887,0.05651724,-0.416085466,-0.453335294,0.275304596
70,0.134380066,-0.723547865,-0.416085466,-0.712728094,-0.784535896
71,-0.723189841,0.05651724,0.725182547,-0.193942495,0.540264719
72,-1.151974795,-2.283678076,-1.100846273,0.843628705,0.010344473
73,0.991949974,-0.203504462,0.040421739,-0.453335294,-0.25461565
74,0.56316502,0.05651724,0.496928944,0.324843105,0.540264719
75,-1.151974795,-0.203504462,-0.872592671,-0.193942495,-0.519575773
76,0.134380066,1.356625749,-0.872592671,0.843628705,-1.049496019
77,-0.937582318,1.356625749,0.725182547,0.065450305,1.070184965
78,0.134380066,0.05651724,0.040421739,0.324843105,0.275304596
79,0.777557497,0.836582346,1.86645056,-0.712728094,1.070184965
80,0.991949974,1.356625749,0.268675342,1.103021504,1.865065335
81,0.348772543,0.576560644,0.95343615,-0.193942495,0.540264719
82,1.420734928,-0.203504462,0.040421739,-0.972120894,0.275304596
83,-1.580759749,-3.583786585,-1.785607081,2.399985503,-2.639256757
84,1.420734928,0.576560644,1.638196957,-0.712728094,1.335145088
85,0.348772543,0.05651724,-0.872592671,1.621807104,0.010344473
86,-0.937582318,-0.463526163,-0.187831863,0.065450305,-0.784535896
87,-1.366367272,1.616647451,-0.872592671,0.584235905,-1.049496019
88,-0.08001241,-0.203504462,0.496928944,0.324843105,0.010344473
89,0.348772543,-0.983569567,0.268675342,-0.193942495,0.540264719
90,-0.08001241,0.836582346,0.725182547,0.065450305,0.010344473
91,0.134380066,0.316538942,0.040421739,-0.972120894,-0.519575773
